Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Splitting,Lande,Leading percentages,Reference
3d6.(3G).4d,2G,7/2,,109901.523,,0.004,51.536,,  73                                  :     8  3d6.(3G).4d             2F    ,"L18349,L18361c138"
3d6.(3H).5p,4I*,9/2,,109912.188,,0.004,10.665,,  72  3d6.(3H).5p 4I*                 :     6  3d6.(3H).5p             4G*   ,L18349c137
3d6.(3H).5p,2I*,13/2,,109923.631,,0.004,11.443,,  50  3d6.(3H).5p 2I*                 :    28  3d6.(3H).5p             4I*   ,L18349c137
3d6.(3H).5p,4G*,7/2,,109975.739,,0.004,52.108,,  20  3d6.(3H).5p 4G*                 :    17  3d6.(3F2).5p            4G*   ,L18349c137
3d5.(2H).4s.4p.(3P*),4H*,11/2,,109980.635,,0.004,4.896,,  19  3d5.(2H).4s.(3H).4p 4H*         :    15  3d5.(2G2).4s.(3G).4p    4H*   ,L18349c137
3d6.(3G).4d,2H,9/2,,110008.310,,0.004,27.675,,  46                                  :    30  3d6.(3G).4d             2G    ,"L18349,L18361c138"
3d6.(3H).5p,4G*,5/2,,110016.915,,0.004,8.605,,  33  3d6.(3H).5p 4G*                 :    23  3d5.(2H).4s.(3H).4p     4G*   ,L18349c137
3d6.(3H).5p,2G*,9/2,,110064.966,,0.004,48.051,,  83  3d6.(3H).5p 2G*                 :     3  3d5.(2F1).4s.(1F).4p    2G*   ,L18349c137
3d6.(3G).4d,2D,5/2,,110065.766,,0.004,0.800,,  78                                  :     7  3d6.(3G).4d             2F    ,"L18349,L18361c138"
3d6.(3F2).5p,4F*,7/2,,110144.841,,0.004,79.075,,  33  3d6.(3F2).5p 4D*                :    16  3d6.(3H).5p             2G*   ,L18349c137
3d6.(3F2).5p,4F*,9/2,,110166.534,,0.004,21.693,,  37  3d6.(3F2).5p 4F*                :    11  3d6.(3F1).5p            4F*   ,L18349c137
3d6.(3G).4d,4F,7/2,,110167.303,,0.004,0.769,,                                                                             ,L18349
3d6.(3H).5p,2I*,11/2,,110247.006,,0.004,79.703,,  74  3d6.(3H).5p 2I*                 :     7  3d6.(3H).5p             4I*   ,L18349c137
3d6.(3F1).5p,4D*,5/2,,110290.739,,0.004,43.733,,  25  3d6.(3F2).5p 4D*                :    10  3d5.(2D3).4s.(1D).4p    2F*   ,L18349c137
3d5.(2G2).4s.4p.(3P*),4H*,13/2,,110348.401,,0.004,57.662,,  21  3d5.(2H).4s.(3H).4p 4H*         :    20  3d5.(2G2).4s.(3G).4p    4H*   ,L18349c137
3d6.(3F2).5p,4F*,3/2,,110406.879,,0.004,58.478,,  40  3d6.(3F2).5p 4F*                :    18  3d6.(3F2).5p            4D*   ,L18349c137
3d6.(3H).5p,2G*,7/2,,110413.870,,0.004,6.991,,  69  3d6.(3H).5p 2G*                 :    10  3d6.(3F2).5p            4D*   ,L18349c137
3d6.(3G).4d,4F,5/2,,110428.305,,0.004,14.435,,                                                                             ,L18349
3d6.(3G).4d,2D,3/2,,110461.272,,0.005,32.967,,  88  3d6.(3G).4d 2D                  :     4  3d6.(3D).4d             2D    ,"L18349,L18361c138"
3d6.(3F2).5p,4D*,7/2,,110469.101,,0.004,7.829,,  42  3d6.(3F2).5p 4F*                :    14  3d6.(3F2).5p            4D*   ,L18349c137
3d6.(3P2).5p,4D*,5/2,,110506.577,,0.004,37.476,,  34  3d6.(3P2).5p 4D*                :    21  3d6.(3P1).5p            4D*   ,L18349c137
3d6.(3F2).5p,4F*,5/2,,110568.558,,0.004,61.981,,  39  3d6.(3F2).5p 4F*                :    18  3d6.(3F2).5p            4D*   ,L18349c137
3d6.(3G).4d,2F,7/2,,110570.312,,0.005,1.754,,  61                                  :     9  3d6.(3H).4d             2F    ,"L18349,L18361c138"
3d6.(3G).4d,4F,3/2,,110609.548,,0.005,39.236,,                                                                             ,L18349
3d6.(3G).4d,2F,5/2,,110611.830,,0.005,2.282,,  65                                  :     9  3d6.(3H).4d             2F    ,"L18349,L18361c138"
