Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Splitting,Lande,Leading percentages,Reference
3d6.(3F2<4>).4f,2[7]*,13/2,,124436.424,,0.006,14.902,,  51  3d6.(3F2<4>).4f 2[7]*           :    18  3d6.(3F2<4>).4f         2[6]* ,L18349c137
3d6.(3H).5d,2K,15/2,,124582.373,,0.008,145.95,,                                                                             ,L18349
3d6.(3F2<3>).4f,2[6]*,13/2,,124661.304,,0.006,78.93,,  76  3d6.(3F2<3>).4f 2[6]*           :    20  3d6.(3F1<3>).4f         2[6]* ,L18349c137
3d6.(3G<5>).4f,2[6]*,11/2,,127482.749,,0.007,2821.445,,  79  3d6.(3G<5>).4f 2[6]*            :    15  3d6.(3G<5>).4f          2[5]* ,L18349c137
3d6.(3G<5>).4f,2[7]*,15/2,,127484.682,,0.006,1.933,,  95  3d6.(3G<5>).4f 2[7]*                                                   ,L18349c137
3d6.(3G<5>).4f,2[7]*,13/2,,127515.212,,0.005,30.530,,  34  3d6.(3G<5>).4f 2[7]*            :    17  3d6.(3H<6>).6p          2[7]* ,L18349c137
3d6.(3G<5>).4f,2[8]*,15/2,,127524.138,,0.005,8.926,,  95  3d6.(3G<5>).4f 2[8]*                                                   ,L18349c137
3d6.(3G<4>).4f,2[5]*,11/2,,127869.205,,0.008,345.067,,  53  3d6.(3G<4>).4f 2[5]*            :    36  3d6.(3G<4>).4f          2[6]* ,L18349c137
3d6.(3G<4>).4f,2[6]*,13/2,,127875.042,,0.007,5.84,,  93  3d6.(3G<4>).4f 2[6]*                                                   ,L18349c137
3d6.(3G<4>).4f,2[7]*,15/2,,127893.010,,0.005,17.968,,  95  3d6.(3G<4>).4f 2[7]*                                                   ,L18349c137
3d6.(3G<4>).4f,2[7]*,13/2,,127895.245,,0.005,2.235,,  94  3d6.(3G<4>).4f 2[7]*                                                   ,L18349c137
3d6.(3G<3>).4f,2[5]*,9/2,,128055.701,,0.007,160.456,,  54  3d6.(3G<3>).4f 2[5]*            :    42  3d6.(3G<3>).4f          2[4]* ,L18349c137
3d6.(3G<3>).4f,2[5]*,11/2,,128071.181,,0.006,15.480,,  77  3d6.(3G<3>).4f 2[5]*            :    17  3d6.(3G<3>).4f          2[6]* ,L18349c137
3d6.(3G<3>).4f,2[6]*,13/2,,128110.204,,0.006,39.023,,  94  3d6.(3G<3>).4f 2[6]*                                                   ,L18349c137
3d6.(3H).5d,4I,15/2,,128802.555,,0.017,692.35,,                                                                             ,L18349
Fe III (3d6 5D<4>),Limit,---,,130655.4,,0.4,,,                                                                             ,L18349
