# created_utc: 2025-08-11T14:20:48.160357Z
# generator: nist_lines_parser_v1
# ion: Zn_II
# raw_lines: data/raw/lines/Zn_II_lines_raw.csv
# raw_lines_sha256: bd9c5432b16170ddef44cbe4868ed4fbca0d6f0fd451375c03327b739f5466b8
# tidy_levels: data/tidy/levels/Zn_II_levels.csv
# tidy_levels_sha256: e4c9248ccd833974c589b02c3c4fc9c76da56dda8e7838db374cc2dab774cb6b
# wavelength_medium: vacuum
# energy_tol_meV: 0.5
# parser_version: v1.0
line_id,wavelength_nm,wavelength_medium,frequency_THz,photon_energy_meV,photon_sigma_meV,upper_id,lower_id,match_method,residual_meV,E1_allowed,dJ,parity_change,Term_upper,Term_lower,J_upper,J_lower,Parity_upper,Parity_lower,Configuration_upper,Configuration_lower,lambda_photon_nm,upper_E_eV,lower_E_eV
56,208.06,vacuum,1440.8942516581756,5959.059809934812,,73.0,27.0,energy_only|energy_only,0.001083025689695205,True,1.0,True,4D,2D*,3/2,5/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),208.06,20.196653966764803,14.23759523985568
57,210.0604,vacuum,1427.17265129458,5902.311830573668,,7.0,2.0,energy_only|energy_only,0.0005685697551598423,True,1.0,True,2D,2P*,5/2,3/2,even,odd,3d10.4d,3d10.4p,210.0604,12.02155747054336,6.119245071399937
58,210.2842,vacuum,1425.65374859357,5896.030153739734,,6.0,2.0,energy_only|energy_only,0.00120591275026527,True,0.0,True,2D,2P*,3/2,3/2,even,odd,3d10.4d,3d10.4p,210.2842,12.015276431052419,6.119245071399937
59,212.345,vacuum,1411.817834184935,5838.8094094753205,,22.0,4.0,energy_only|energy_only,0.0106816674615402,True,1.0,True,4D*,2D,1/2,3/2,odd,even,3d9.(2D).4s.4p.(3P*),3d9.4s2,212.345,13.95254936852416,8.113729277381378
60,214.81,vacuum,1395.616861412411,5771.807569736217,,20.0,4.0,energy_only|energy_only,0.01333624847302417,True,0.0,True,4D*,2D,3/2,3/2,odd,even,3d9.(2D).4s.4p.(3P*),3d9.4s2,214.81,13.885523510869122,8.113729277381378
61,221.089,vacuum,1355.9808855257386,5607.886344662271,,17.0,4.0,energy_only|energy_only,0.0007785406733091804,True,1.0,True,2F*,2D,5/2,3/2,odd,even,3d9.(2D).4s.4p.(3P*),3d9.4s2,221.089,13.721616400584322,8.113729277381378
62,227.388,vacuum,1318.4181135328163,5452.539201958929,,47.0,5.0,energy_only|energy_only,0.006879226672936056,True,0.0,True,2P*,2S,1/2,1/2,odd,even,3d10.8p,3d10.5s,227.388,16.41735523271616,10.964809151530561
63,250.2744,vacuum,1197.8550662792518,4953.9305021010405,,5.0,1.0,energy_only|energy_only,0.000726799118638155,True,0.0,True,2S,2P*,1/2,1/2,even,odd,3d10.5s,3d10.4p,250.2744,10.964809151530561,6.0108779226304
64,252.877,vacuum,1185.5267897040853,4902.944846921771,,,7.0,no_tiebreak|energy_only,,True,1.0,True,2P*,2D,3/2,5/2,odd,even,3d10.9p,3d10.4d,252.877,,12.02155747054336
65,255.8715,vacuum,1171.6524036479248,4845.564996707475,,5.0,2.0,energy_only|energy_only,0.0009165768524326268,True,1.0,True,2S,2P*,1/2,3/2,even,odd,3d10.5s,3d10.4p,255.8715,10.964809151530561,6.119245071399937
