# created_utc: 2025-08-09T20:27:30.661197Z
# generator: nist_lines_parser_v1
# ion: Fe_II
# raw_lines: data/raw/lines/Fe_II_lines_raw.csv
# raw_lines_sha256: 6e0cd7aea59d4a63d3f5abc359820825a22673f38becb7b95ed0fa8cbcf4c3b9
# tidy_levels: data/tidy/levels/Fe_II_levels.csv
# tidy_levels_sha256: aa00d26045c0fbd3a6245fb9f2df6768f779485aa4c38622a55a94b76324419d
# wavelength_medium: vacuum
# energy_tol_meV: 0.5
# parser_version: v1.0
line_id,wavelength_nm,wavelength_medium,frequency_THz,photon_energy_meV,photon_sigma_meV,upper_id,lower_id,match_method,residual_meV,E1_allowed,dJ,parity_change,Term_upper,Term_lower,J_upper,J_lower,Parity_upper,Parity_lower,Configuration_upper,Configuration_lower,lambda_photon_nm,upper_E_eV,lower_E_eV
33,98.136598,vacuum,3054.8486916165566,12633.839050086459,,746,10,energy_only|energy_only,4.7505393013125286e-05,True,0.0,True,4D*,a 4D,5/2,5/2,odd,even,3d6.(3F1).5p,3d6.(5D).4s,98.136598,13.674308865858618,1.0404698632775515
34,98.475979,vacuum,3044.32066626116,12590.298635721478,,481,5,energy_only|energy_only,4.240859198034741e-05,True,1.0,True,2[6]*,a 4F,11/2,9/2,odd,even,3d6.(5D<3>).4f,3d7,98.475979,12.82247146325707,0.23217278512700035
35,98.966043,vacuum,3029.2456777321086,12527.95349264431,,511,7,energy_only|energy_only,8.312859790748917e-06,True,1.0,True,2[4]*,a 4F,7/2,5/2,odd,even,3d6.(5D<1>).4f,3d7,98.966043,12.879818246495619,0.3518647621641709
36,98.979457,vacuum,3028.8351450543923,12526.255665910925,,507,7,energy_only|energy_only,2.1192368876654655e-05,True,1.0,True,2[2]*,a 4F,3/2,5/2,odd,even,3d6.(5D<1>).4f,3d7,98.979457,12.878120406882728,0.3518647621641709
37,98.989489,vacuum,3028.528190503135,12524.986203889152,,448,5,energy_only|energy_only,4.577643267111853e-05,True,1.0,True,2[6]*,a 4F,11/2,9/2,odd,even,3d6.(5D<4>).4f,3d7,98.989489,12.75715894323972,0.23217278512700035
38,99.000271,vacuum,3028.198357153992,12523.622122762037,,446,5,energy_only|energy_only,3.8800113543402404e-05,True,0.0,True,2[4]*,a 4F,9/2,9/2,odd,even,3d6.(5D<4>).4f,3d7,99.000271,12.755794869088923,0.23217278512700035
39,99.030693,vacuum,3027.268101617748,12519.774894991766,,445,5,energy_only|energy_only,4.0706196159590036e-05,True,0.0,True,2[5]*,a 4F,9/2,9/2,odd,even,3d6.(5D<4>).4f,3d7,99.030693,12.75194763941257,0.23217278512700035
40,99.079618,vacuum,3025.7732523756804,12513.592695270958,,525,8,energy_only|energy_only,5.267178676149342e-05,True,1.0,True,2[3]*,a 4F,5/2,3/2,odd,even,3d6.(5D<0>).4f,3d7,99.079618,12.90011185610553,0.38651921350635976
41,99.085848,vacuum,3025.583007575411,12512.80590599615,,474,6,energy_only|energy_only,3.206733163096942e-05,True,1.0,True,2[5]*,a 4F,9/2,7/2,odd,even,3d6.(5D<3>).4f,3d7,99.085848,12.814104513612245,0.301298575548761
42,99.111654,vacuum,3024.7952274108957,12509.547909018214,,471,6,energy_only|energy_only,2.7720285288523883e-05,True,1.0,True,2[4]*,a 4F,9/2,7/2,odd,even,3d6.(5D<3>).4f,3d7,99.111654,12.81084645684669,0.301298575548761
43,99.133937,vacuum,3024.115323897607,12506.73605402191,,500,7,energy_only|energy_only,1.4437342542805709e-05,True,1.0,True,2[4]*,a 4F,7/2,5/2,odd,even,3d6.(5D<2>).4f,3d7,99.133937,12.858600830623425,0.3518647621641709
44,99.157098,vacuum,3023.4089545460474,12503.814745113223,,515,8,energy_only|energy_only,7.663329597562551e-06,True,1.0,True,2S*,a 4F,1/2,3/2,odd,even,3d5.(4P).4s.4p.(3P*),3d7,99.157098,12.890333966282913,0.38651921350635976
45,99.158583,vacuum,3023.3636759411943,12503.627487849812,,720,11,energy_only|energy_only,6.118557575973682e-05,True,1.0,True,4P*,a 4D,1/2,3/2,odd,even,3d6.(3P2).5p,3d6.(5D).4s,99.158583,13.579868738111157,1.0762411890757673
46,99.168111,vacuum,3023.07319335749,12502.426148412134,,493,7,energy_only|energy_only,1.8657659893506207e-05,True,1.0,True,2[3]*,a 4F,7/2,5/2,odd,even,3d6.(5D<2>).4f,3d7,99.168111,12.854290891918644,0.3518647621641709
47,99.183662,vacuum,3022.599205905505,12500.465893818651,,490,7,energy_only|energy_only,4.5759117710986175e-05,True,0.0,True,2[2]*,a 4F,5/2,5/2,odd,even,3d6.(5D<2>).4f,3d7,99.183662,12.852330701741941,0.3518647621641709
48,99.422329,vacuum,3015.343344049001,12470.458060332068,,497,8,energy_only|energy_only,1.6293050066451542e-05,True,1.0,True,2[3]*,a 4F,5/2,3/2,odd,even,3d6.(5D<2>).4f,3d7,99.422329,12.856977257545378,0.38651921350635976
49,99.42339,vacuum,3015.3111657126155,12470.324981425767,,479,7,energy_only|energy_only,2.7568365112529136e-05,True,1.0,True,2[1]*,a 4F,3/2,5/2,odd,even,3d6.(5D<3>).4f,3d7,99.42339,12.822189771158305,0.3518647621641709
50,99.434866,vacuum,3014.9631619154593,12468.885753363784,,478,7,energy_only|energy_only,4.705532410298474e-05,True,0.0,True,2[2]*,a 4F,5/2,5/2,odd,even,3d6.(5D<3>).4f,3d7,99.434866,12.820750562583278,0.3518647621641709
51,99.439831,vacuum,3014.8126257374674,12468.263185755382,,681,9,energy_only|energy_only,2.1582220142590813e-05,True,0.0,True,4F*,a 4D,7/2,7/2,odd,even,3d5.(2F1).4s.4p.(3P*),3d6.(5D).4s,99.439831,13.454596963810772,0.9863337996376103
52,99.45518,vacuum,3014.3473472171086,12466.338948409091,,476,7,energy_only|energy_only,3.1393516110256314e-05,True,1.0,True,2[3]*,a 4F,7/2,5/2,odd,even,3d6.(5D<3>).4f,3d7,99.45518,12.818203679179746,0.3518647621641709
53,99.49049,vacuum,3013.2775303448607,12461.9145413299,,449,6,energy_only|energy_only,2.5231069230358116e-05,True,0.0,True,2[3]*,a 4F,7/2,7/2,odd,even,3d6.(5D<4>).4f,3d7,99.49049,12.763213091647591,0.301298575548761
54,99.545044,vacuum,3011.6261538846675,12455.084997049544,,447,6,energy_only|energy_only,2.653537922014948e-05,True,0.0,True,2[4]*,a 4F,7/2,7/2,odd,even,3d6.(5D<4>).4f,3d7,99.545044,12.756383546062926,0.301298575548761
55,99.549749,vacuum,3011.4838159963615,12454.496334842961,,446,6,energy_only|energy_only,4.130279921810143e-05,True,1.0,True,2[4]*,a 4F,9/2,7/2,odd,even,3d6.(5D<4>).4f,3d7,99.549749,12.755794869088923,0.301298575548761
56,99.738409,vacuum,3005.7874494468824,12430.938055719706,,672,9,energy_only|energy_only,3.7477733712876216e-05,True,1.0,True,4F*,a 4D,9/2,7/2,odd,even,3d5.(2F1).4s.4p.(3P*),3d6.(5D).4s,99.738409,13.417271892835048,0.9863337996376103
57,100.741833,vacuum,2975.848751928109,12307.121551531,,655,10,energy_only|energy_only,5.3004841902293265e-06,True,0.0,True,4D*,a 4D,5/2,5/2,odd,even,3d6.(5D).6p,3d6.(5D).4s,100.741833,13.347591409508066,1.0404698632775515
58,100.742944,vacuum,2975.815934066807,12306.98582776216,,641,9,energy_only|energy_only,5.495846562553197e-05,True,1.0,True,6F*,a 4D,9/2,7/2,odd,even,3d6.(5D).6p,3d6.(5D).4s,100.742944,13.293319682358236,0.9863337996376103
59,100.797761,vacuum,2974.1975915516614,12300.29290090121,,637,9,energy_only|energy_only,5.716280975320842e-05,True,1.0,True,4P*,a 4D,5/2,7/2,odd,even,3d6.(5D).6p,3d6.(5D).4s,100.797761,13.286626643376007,0.9863337996376103
60,100.960677,vacuum,2969.398253936035,12280.444435362066,,659,11,energy_only|energy_only,2.602287167974282e-05,True,1.0,True,2D*,a 4D,5/2,3/2,odd,even,3d5.(2D3).4s.4p.(3P*),3d6.(5D).4s,100.960677,13.356685650460705,1.0762411890757673
