# created_utc: 2025-08-09T20:27:22.153019Z
# generator: nist_lines_parser_v1
# ion: Cu_I
# raw_lines: data/raw/lines/Cu_I_lines_raw.csv
# raw_lines_sha256: 4c7a2d952e6309573cb06548d82a32a15a00e9c0721fef4c370dcd6590bcc32d
# tidy_levels: data/tidy/levels/Cu_I_levels.csv
# tidy_levels_sha256: 7b6f206c2da9115978c18f90c7cad21d8a50792b813a159312bed9075b6eb3de
# wavelength_medium: vacuum
# energy_tol_meV: 0.5
# parser_version: v1.0
line_id,wavelength_nm,wavelength_medium,frequency_THz,photon_energy_meV,photon_sigma_meV,upper_id,lower_id,match_method,residual_meV,E1_allowed,dJ,parity_change,Term_upper,Term_lower,J_upper,J_lower,Parity_upper,Parity_lower,Configuration_upper,Configuration_lower,lambda_photon_nm,upper_E_eV,lower_E_eV
62,120.14,vacuum,2495.3592308972866,10319.976561137313,,298,0,energy_only|energy_only,0.003026275233423803,True,1.0,True,"(1,5/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<1>).6f<5/2>,3d10.4s,120.14,10.319973534862081,0.0
63,120.2753,vacuum,2492.552153268377,10308.36742086727,,297,0,energy_only|energy_only,0.0011930245727853617,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<3>).10f,3d10.4s,120.2753,10.308368613891842,0.0
64,120.322,vacuum,2491.584730971892,10304.366483727305,,296,0,energy_only|energy_only,0.0025594437847757945,True,1.0,True,"(3,3/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<3>).12p<3/2>,3d10.4s,120.322,10.304363924283521,0.0
65,120.623,vacuum,2485.3672848461733,10278.65319263355,,295,0,energy_only|energy_only,0.003591098189644981,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<2>).7f,3d10.4s,120.623,10.27864960153536,0.0
66,120.658,vacuum,2484.646339239835,10275.671601178845,,294,0,energy_only|energy_only,0.0023795949146006024,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<3>).9f,3d10.4s,120.658,10.27567398077376,0.0
67,120.677,vacuum,2484.255143896517,10274.053747234659,,293,0,energy_only|energy_only,0.003959459936595522,True,1.0,True,"(3,3/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<3>).11p<3/2>,3d10.4s,120.677,10.274049787774722,0.0
68,120.753,vacuum,2482.6915935835964,10267.587422714441,,292,0,energy_only|energy_only,0.0027883236380148446,True,0.0,True,4P*,2S,1/2,1/2,odd,even,3d9.4s.(3D).9p,3d10.4s,120.753,10.267590211038081,0.0
69,121.1891,vacuum,2473.757606913493,10230.6394226464,,291,0,energy_only|energy_only,0.0034972684807144105,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<3>).8f,3d10.4s,121.1891,10.23064291991488,0.0
70,121.238,vacuum,2472.7598442732474,10226.513007926862,,290,0,energy_only|energy_only,0.001238181297594565,True,1.0,True,"(3,3/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<3>).10p<3/2>,3d10.4s,121.238,10.22651424610816,0.0
71,121.766,vacuum,2462.0374981521936,10182.168947448687,,289,0,energy_only|energy_only,0.00384910820685036,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<2>).6f,3d10.4s,121.766,10.18216509834048,0.0
