# created_utc: 2025-08-09T20:27:31.927666Z
# generator: nist_lines_parser_v1
# ion: H_I
# raw_lines: data/raw/lines/H_I_lines_raw.csv
# raw_lines_sha256: 1872bccd6e1e20df71138494ef8cebb5709bd8f970585912171b595fe83180b1
# tidy_levels: data/tidy/levels/H_I_levels.csv
# tidy_levels_sha256: 8d08ef7f0a11912605c0a3d113b01d425937c6d07b533f1d89c210e5c2c712a4
# wavelength_medium: vacuum
# energy_tol_meV: 0.5
# parser_version: v1.0
line_id,wavelength_nm,wavelength_medium,frequency_THz,photon_energy_meV,photon_sigma_meV,upper_id,lower_id,match_method,residual_meV,E1_allowed,dJ,parity_change,Term_upper,Term_lower,J_upper,J_lower,Parity_upper,Parity_lower,Configuration_upper,Configuration_lower,lambda_photon_nm,upper_E_eV,lower_E_eV
113,375.0130082,vacuum,799.418824000143,3306.1306059917015,,,2.0,no_tiebreak|energy_only,,False,0.0,False,2S,2S,1/2,1/2,even,even,12s,2s,375.0130082,,10.198810522417146
114,375.0130105,vacuum,799.418819097211,3306.1305857148036,,,2.0,no_tiebreak|energy_only,,True,0.0,True,2P*,2S,1/2,1/2,odd,even,12p,2s,375.0130105,,10.198810522417146
115,375.01584,vacuum,799.4127874705239,3306.1056409111593,,75.0,3.0,energy+term|energy+term,0.9394797777185886,,,,,,,,,,12,2,375.01584,13.504001926822387,10.198835765688948
116,375.01515,vacuum,799.4142583306301,3306.1117238997863,,,,no_tiebreak|no_tiebreak,,,,,,,,,,,,,375.01515,,
117,375.0176298,vacuum,799.4089722125378,3306.0898622719546,,76.0,4.0,energy_only|energy_only,0.9394419218965595,True,1.0,True,2D,2P*,5/2,3/2,even,odd,12d,2p,375.0176298,13.504001932205782,10.198851511855723
118,375.01763,vacuum,799.4089717862064,3306.0898605087896,,,,no_tiebreak|no_tiebreak,,,,,,,,,,,,,375.01763,,
119,375.0176378,vacuum,799.4089551592818,3306.089791745355,,73.0,4.0,energy_only|energy_only,0.9394414116541157,True,0.0,True,2D,2P*,3/2,3/2,even,odd,12d,2p,375.0176378,13.504001862189424,10.198851511855723
120,375.0176591,vacuum,799.4089097549913,3306.089603968297,,,4.0,no_tiebreak|energy_only,,True,1.0,True,2S,2P*,1/2,3/2,even,odd,12s,2p,375.0176591,,10.198851511855723
121,377.060301,vacuum,795.0782864303712,3288.179584981122,,,1.0,no_tiebreak|energy_only,,True,1.0,True,2D,2P*,3/2,1/2,even,odd,11d,2p,377.060301,,10.19880614751294
122,377.060329,vacuum,795.078227388912,3288.1793408052663,,,1.0,no_tiebreak|energy_only,,True,0.0,True,2S,2P*,1/2,1/2,even,odd,11s,2p,377.060329,,10.19880614751294
123,377.06056,vacuum,795.0777402972085,3288.177326355843,,,,no_tiebreak|no_tiebreak,,,,,,,,,,,,,377.06056,,
124,377.0608027,vacuum,795.0772285352692,3288.1752098785228,,,2.0,no_tiebreak|energy_only,,True,1.0,True,2P*,2S,3/2,1/2,odd,even,11p,2s,377.0608027,,10.198810522417146
125,377.0608308,vacuum,795.0771692831055,3288.174964831263,,,2.0,no_tiebreak|energy_only,,False,0.0,False,2S,2S,1/2,1/2,even,even,11s,2s,377.0608308,,10.198810522417146
126,377.060834,vacuum,795.0771625355286,3288.1749369255276,,,2.0,no_tiebreak|energy_only,,True,0.0,True,2P*,2S,1/2,1/2,odd,even,11p,2s,377.060834,,10.198810522417146
127,377.063,vacuum,795.0725952957464,3288.1560483395,,,,no_tiebreak|no_tiebreak,,,,,,,,,,,,,377.063,,
128,377.06368,vacuum,795.0711614547442,3288.1501184495864,,70.0,3.0,energy+term|energy+term,0.9339432173837849,,,,,,,,,,11,2,377.06368,13.48605194092115,10.198835765688948
129,377.0654943,vacuum,795.0673358657416,3288.13429708473,,,4.0,no_tiebreak|energy_only,,True,1.0,True,2D,2P*,5/2,3/2,even,odd,11d,2p,377.0654943,,10.198851511855723
130,377.0655,vacuum,795.0673238469179,3288.1342473788686,,,,no_tiebreak|no_tiebreak,,,,,,,,,,,,,377.0655,,
131,377.0655047,vacuum,795.0673139366598,3288.1342063933353,,,4.0,no_tiebreak|energy_only,,True,0.0,True,2D,2P*,3/2,3/2,even,odd,11d,2p,377.0655047,,10.198851511855723
132,377.0655327,vacuum,795.0672548968303,3288.133962224219,,,4.0,no_tiebreak|energy_only,,True,1.0,True,2S,2P*,1/2,3/2,even,odd,11s,2p,377.0655327,,10.198851511855723
133,379.7870048,vacuum,789.3699737248093,3264.5719005260626,,,1.0,no_tiebreak|energy_only,,True,1.0,True,2D,2P*,3/2,1/2,even,odd,10d,2p,379.7870048,,10.19880614751294
134,379.7870427,vacuum,789.3698949513952,3264.5715747453987,,,1.0,no_tiebreak|energy_only,,True,0.0,True,2S,2P*,1/2,1/2,even,odd,10s,2p,379.7870427,,10.19880614751294
135,379.78727,vacuum,789.3694225190854,3264.569620922357,,,,no_tiebreak|no_tiebreak,,,,,,,,,,,,,379.78727,,
136,379.7874999,vacuum,789.368944683374,3264.567644752641,,63.0,2.0,energy_only|energy_only,0.9266307009111188,False,2.0,False,2D,2S,5/2,1/2,even,even,10d,2s,379.7874999,13.462451536468876,10.198810522417146
137,379.7875137,vacuum,789.368916000779,3264.56752613096,,,2.0,no_tiebreak|energy_only,,True,1.0,True,2P*,2S,3/2,1/2,odd,even,10p,2s,379.7875137,,10.198810522417146
138,379.7875518,vacuum,789.3688368118862,3264.567198632014,,,2.0,no_tiebreak|energy_only,,False,0.0,False,2S,2S,1/2,1/2,even,even,10s,2s,379.7875518,,10.198810522417146
139,379.787556,vacuum,789.368828082403,3264.567162529772,,,2.0,no_tiebreak|energy_only,,True,0.0,True,2P*,2S,1/2,1/2,odd,even,10p,2s,379.787556,,10.198810522417146
140,379.78974,vacuum,789.3642887772587,3264.5483894721247,,,,no_tiebreak|no_tiebreak,,,,,,,,,,,,,379.78974,,
141,379.79044,vacuum,789.3628338828119,3264.5423725121595,,64.0,3.0,energy+term|energy+term,0.9265894453965302,,,,,,,,,,10,2,379.79044,13.46245154875571,10.198835765688948
